creatorid,post_id,title,caption,likes,thumbnail_url,url,date_utc,typename,caption_hashtags,is_video
hydrationceo,C4BbgRqrS8F,,"I can’t even get a burger and fries for under $30, BUT I CAN GET THIS COMBO FOR $26.99 🔥🔥🔥🔥🔥 

#inkeylist #scalptreatment #dove #densityserum #hairgrowth #dandruff #flakyscalp #scalpcare #haircare #hairgrowthproducts #hairproducts #scalpproducts",1909,posts/hydrationceo\2024-03-02_18-44-02_UTC.jpg,posts/hydrationceo\2024-03-02_18-44-02_UTC.mp4,2024-03-02 18:44:02,GraphVideo,"['inkeylist', 'scalptreatment', 'dove', 'densityserum', 'hairgrowth', 'dandruff', 'flakyscalp', 'scalpcare', 'haircare', 'hairgrowthproducts', 'hairproducts', 'scalpproducts']",True
hydrationceo,C3-3QnARjB5,,"The milk lip oil has a CHOKEHOLD on me 😩 

#sephora #sephoramakeup #makeupreview #makeuptips #milkmakeup #itcosmetics #abh #lys",1746,posts/hydrationceo\2024-03-01_18-48-20_UTC.jpg,posts/hydrationceo\2024-03-01_18-48-20_UTC.mp4,2024-03-01 18:48:20,GraphVideo,"['sephora', 'sephoramakeup', 'makeupreview', 'makeuptips', 'milkmakeup', 'itcosmetics', 'abh', 'lys']",True
hydrationceo,C380RZqrkAc,,"This is the craziest skincare myth that’s ever been busted in the history of EVER @theordinary #theordinary #theordinarypartner 

#skincare #hyaluronicacid #hyaluronicacidserum #serum #skintok #skintips",1517,posts/hydrationceo\2024-02-29_23-44-04_UTC.jpg,posts/hydrationceo\2024-02-29_23-44-04_UTC.mp4,2024-02-29 23:44:04,GraphVideo,"['theordinary', 'theordinarypartner', 'skincare', 'hyaluronicacid', 'hyaluronicacidserum', 'serum', 'skintok', 'skintips']",True
hydrationceo,C38GkNbrK45,,"Less self-loathing and more self-caring little missy 🫵 
 

#selfcare #selflove #anxiety #selfcaretips #selfcareday #mentalhealth #skincare",1672,posts/hydrationceo\2024-02-29_17-04-52_UTC.jpg,posts/hydrationceo\2024-02-29_17-04-52_UTC.mp4,2024-02-29 17:04:52,GraphVideo,"['selfcare', 'selflove', 'anxiety', 'selfcaretips', 'selfcareday', 'mentalhealth', 'skincare']",True
hydrationceo,C37uPNGLZNR,,"Not the st ives on the clarisonic 😭 

#skincare #skincarefail #stives #skincarememe #clarisonic #y2k #throwback",971,posts/hydrationceo\2024-02-29_13-31-57_UTC.jpg,posts/hydrationceo\2024-02-29_13-31-57_UTC.mp4,2024-02-29 13:31:57,GraphVideo,"['skincare', 'skincarefail', 'stives', 'skincarememe', 'clarisonic', 'y2k', 'throwback']",True
hydrationceo,C35ng5xroM-,,"In order of appearance ⭐️:

@elfcosmetics pure skin toner
@byoma milky toner 
@experimentwrld super saturated
@theordinary soothing & barrier repair
@naturiumskin barrier bounce
@stratiaskin lipid gold
@kiehls ultra repair stick
@kiehls barrier cream
@herocosmetics rescue balm

#skincare #skintok #barrierrepair #skinbarrier",4736,posts/hydrationceo\2024-02-28_17-56-20_UTC.jpg,posts/hydrationceo\2024-02-28_17-56-20_UTC.mp4,2024-02-28 17:56:20,GraphVideo,"['skincare', 'skintok', 'barrierrepair', 'skinbarrier']",True
hydrationceo,C33u7haLU_P,,"Now they make my fave (buttne blasting, kp killing) KP Bump Eraser Body Scrub in a STRAWBERRY SCENT and I’m living for it!! 🍓 @firstaidbeauty #ad 

#firstaidbeauty #kpbumperaser #kp #strawberryskin #meme #bodycare #showertok #showertime",1631,posts/hydrationceo\2024-02-28_00-21-04_UTC.jpg,posts/hydrationceo\2024-02-28_00-21-04_UTC.mp4,2024-02-28 00:21:04,GraphVideo,"['ad', 'firstaidbeauty', 'kpbumperaser', 'kp', 'strawberryskin', 'meme', 'bodycare', 'showertok', 'showertime']",True
hydrationceo,C32tGSwL4uB,,"Overhyped or justifiably hyped? 🤔 

#skincare #viralskincare #skincaretips #skincareproducts #sephoraskincare #sephora #fab #firstaidbeauty #yttp #drjart #charlottetilbury",3467,posts/hydrationceo\2024-02-27_14-46-42_UTC.jpg,posts/hydrationceo\2024-02-27_14-46-42_UTC.mp4,2024-02-27 14:46:42,GraphVideo,"['skincare', 'viralskincare', 'skincaretips', 'skincareproducts', 'sephoraskincare', 'sephora', 'fab', 'firstaidbeauty', 'yttp', 'drjart', 'charlottetilbury']",True
hydrationceo,C30mhRiJ7WH,,"How are we feeling about bright red blush? 🤔 

 

#redblush #tower28 #blush #blushtutorial #viralblush #makeupreview",2771,posts/hydrationceo\2024-02-26_19-09-35_UTC.jpg,posts/hydrationceo\2024-02-26_19-09-35_UTC.mp4,2024-02-26 19:09:35,GraphVideo,"['redblush', 'tower28', 'blush', 'blushtutorial', 'viralblush', 'makeupreview']",True
hydrationceo,C3xb2VtrHUv,,"barrier bounce is a DREAM for us dry, flaky girlies 🦎 

 

#urea #skincare #barrierbounce #naturium #facialoils #serum #dryskin #flakyskin #skincareproducts",2199,posts/hydrationceo\2024-02-25_13-38-57_UTC.jpg,posts/hydrationceo\2024-02-25_13-38-57_UTC.mp4,2024-02-25 13:38:57,GraphVideo,"['urea', 'skincare', 'barrierbounce', 'naturium', 'facialoils', 'serum', 'dryskin', 'flakyskin', 'skincareproducts']",True
hydrationceo,C3vqaK3JJZp,,Chaaaaaarlotte dahhhling at Ulta Beauty? I think sooooooo 💕 @ultabeauty @charlottetilbury #UltaBeautyPartner #ultabeauty,1628,posts/hydrationceo\2024-02-24_21-09-31_UTC.jpg,posts/hydrationceo\2024-02-24_21-09-31_UTC.mp4,2024-02-24 21:09:31,GraphVideo,"['ultabeautypartner', 'ultabeauty']",True
hydrationceo,C3uzNqALIfv,,"This skin is the direct result of tretinoin, spiro, double cleansing, azelaic acid, microneedling, peptides, pimple patches, facials, and propolis (plus a million products I had to try to get here) 😅 

#skincare #acne #clearskin #meme #beauty #skincareproducts #skincareroutine",9686,posts/hydrationceo\2024-02-24_13-05-18_UTC.jpg,posts/hydrationceo\2024-02-24_13-05-18_UTC.mp4,2024-02-24 13:05:18,GraphVideo,"['skincare', 'acne', 'clearskin', 'meme', 'beauty', 'skincareproducts', 'skincareroutine']",True
hydrationceo,C3s1bARLZew,,"Things may look perfect, but we’re ALL just humans trying to figure out our own path and that means there are going to be some bumps in the road 💕

#selflove #selfcare #selfcaretips #selflovequotes #confidence #loveyourself #selflovejourney #socialmedia",3655,posts/hydrationceo\2024-02-23_18-45-32_UTC_1.jpg,posts/hydrationceo\2024-02-23_18-45-32_UTC_1.jpg,2024-02-23 18:45:32,GraphSidecar,"['selflove', 'selfcare', 'selfcaretips', 'selflovequotes', 'confidence', 'loveyourself', 'selflovejourney', 'socialmedia']",False
hydrationceo,C3q1EOrL4zS,,"I take handcare VERY seriously @loccitane #loccitanepartner 

#handcream #skincare #skincaretips #skincareproducts #handcream",2144,posts/hydrationceo\2024-02-23_00-04-35_UTC.jpg,posts/hydrationceo\2024-02-23_00-04-35_UTC.mp4,2024-02-23 00:04:35,GraphVideo,"['loccitanepartner', 'handcream', 'skincare', 'skincaretips', 'skincareproducts', 'handcream']",True
hydrationceo,C3p-gzBLuRr,,"No bs, just genuinely lifechanging skincare 💯 

#skincare #cleansingbalm #liquidpimplepatch #slushyserum #skincarereview #sephora #sephoraskincare",5462,posts/hydrationceo\2024-02-22_16-07-53_UTC.jpg,posts/hydrationceo\2024-02-22_16-07-53_UTC.mp4,2024-02-22 16:07:53,GraphVideo,"['skincare', 'cleansingbalm', 'liquidpimplepatch', 'slushyserum', 'skincarereview', 'sephora', 'sephoraskincare']",True
hydrationceo,C3oDSMjrM2m,,"deets ✨:
@lorealusa lumi glotion in ‘fair’
@sephora collection best skin ever glow in ‘22’
@maybelline fit me loose powder
@milanicosmetics cheek kiss bronzer in ‘spilling tea’
@milanicosmetics cheek kiss bluah in ‘nude kiss’
@colourpopcosmetics shadow stix in ‘cocktail party’
@milanicosmetics stay put tank eyeliner in ‘black’
@lorealusa telescopic lift mascara
@nyxcosmetics lipliner in ‘nude truffle’
@neutrogena moisturesmooth in ‘almond nude’",1695,posts/hydrationceo\2024-02-21_22-12-09_UTC.jpg,posts/hydrationceo\2024-02-21_22-12-09_UTC.mp4,2024-02-21 22:12:09,GraphVideo,[],True
hydrationceo,C3neWR4rux9,,"ANOTHER blush Rachel, really????? 😫 

#milkjellyblush #milkblush #milkmakeupblush #coolingwaterjellytint #jellytint #blushstain #honestreviews #makeuptok #blush #viralmakeup",5803,posts/hydrationceo\2024-02-21_16-48-17_UTC.jpg,posts/hydrationceo\2024-02-21_16-48-17_UTC.mp4,2024-02-21 16:48:17,GraphVideo,"['milkjellyblush', 'milkblush', 'milkmakeupblush', 'coolingwaterjellytint', 'jellytint', 'blushstain', 'honestreviews', 'makeuptok', 'blush', 'viralmakeup']",True
hydrationceo,C3l25NjLsWF,,"FREE 99 coffee and sunscreen from @neutrogena ??? 🥹  All my dreams have come true! Be sure to stop by on Feb. 22 from 8am – 3pm in Union Square in NYC. #NeutrogenaPartner #glowwithneutrogena

#popup #nyc #skincare #sunscreen #freestuff #nycpopup",997,posts/hydrationceo\2024-02-21_01-44-42_UTC.jpg,posts/hydrationceo\2024-02-21_01-44-42_UTC.mp4,2024-02-21 01:44:42,GraphVideo,"['neutrogenapartner', 'glowwithneutrogena', 'popup', 'nyc', 'skincare', 'sunscreen', 'freestuff', 'nycpopup']",True
hydrationceo,C3lZS1YLLfB,,"As much as I love sephora, I will ALWAYS be a drugstore skincare girly 🫶 

#drugstoreskincare #affordableskincare #skincare #skincareproducts #peachslices #neutrogena #cocokind",3334,posts/hydrationceo\2024-02-20_21-25-40_UTC.jpg,posts/hydrationceo\2024-02-20_21-25-40_UTC.mp4,2024-02-20 21:25:40,GraphVideo,"['drugstoreskincare', 'affordableskincare', 'skincare', 'skincareproducts', 'peachslices', 'neutrogena', 'cocokind']",True
hydrationceo,C3k1DBYL_VJ,,"My ride or die body oils 🫡 

#caudaliebodyoil #traderjoes #traderjoesbodyoil #oseabodyoil #aveenobodyoil #bodyoil #bodyoils #bodyproducts #caudalie #osea #aveeno #drugstorebodyoil",9871,posts/hydrationceo\2024-02-20_16-09-18_UTC.jpg,posts/hydrationceo\2024-02-20_16-09-18_UTC.mp4,2024-02-20 16:09:18,GraphVideo,"['caudaliebodyoil', 'traderjoes', 'traderjoesbodyoil', 'oseabodyoil', 'aveenobodyoil', 'bodyoil', 'bodyoils', 'bodyproducts', 'caudalie', 'osea', 'aveeno', 'drugstorebodyoil']",True
hydrationceo,C3jOlE7L2LO,,"2024 really is the year of affordable, barrier-supporting skincare 👏 @byoma #byomapartner 

#cleanser #toner #skincare #skintok #byomaskincareproducts #skincareproducts #skincarereviews",1803,posts/hydrationceo\2024-02-20_01-14-05_UTC.jpg,posts/hydrationceo\2024-02-20_01-14-05_UTC.mp4,2024-02-20 01:14:05,GraphVideo,"['byomapartner', 'cleanser', 'toner', 'skincare', 'skintok', 'byomaskincareproducts', 'skincareproducts', 'skincarereviews']",True
hydrationceo,C3isyKTObcD,,"Who else was feral for victoria’s secret glosses in middle school? 🤚 

#lipgloss #victoriassecret #y2k #throwbackmakeup #weirdmakeup #lipglossaddict #lipglosslover",1997,posts/hydrationceo\2024-02-19_20-18-40_UTC.jpg,posts/hydrationceo\2024-02-19_20-18-40_UTC.mp4,2024-02-19 20:18:40,GraphVideo,"['lipgloss', 'victoriassecret', 'y2k', 'throwbackmakeup', 'weirdmakeup', 'lipglossaddict', 'lipglosslover']",True
hydrationceo,C3iDAQarB0U,,"You DO NOT have to spend all your hard-earned money to have gorgeous skin ❌ 

#skincare #drugstoreskincare #drugstorebeautyreview #ultaskintok #ultaskincare #affordableskincare #skintok",69802,posts/hydrationceo\2024-02-19_14-13-08_UTC.jpg,posts/hydrationceo\2024-02-19_14-13-08_UTC.mp4,2024-02-19 14:13:08,GraphVideo,"['skincare', 'drugstoreskincare', 'drugstorebeautyreview', 'ultaskintok', 'ultaskincare', 'affordableskincare', 'skintok']",True
hydrationceo,C3gVsImreIR,,"⭐️DEETS⭐️ To apply, post a video with #2024NeutrogenaNetwork explaining why you love the brand and should be part of the 2024 network by 2/29/24!

Don’t forget to follow and tag @neutrogena. Must be 18+, US resident and have a following of 5K+ to apply. See the full application terms in the link in bio. #NeutrogenaPartner #Neutrogena 

#actress #goals #2024goals #skincare",1120,posts/hydrationceo\2024-02-18_22-17-50_UTC.jpg,posts/hydrationceo\2024-02-18_22-17-50_UTC.mp4,2024-02-18 22:17:50,GraphVideo,"['2024neutrogenanetwork', 'neutrogenapartner', 'neutrogena', 'actress', 'goals', '2024goals', 'skincare']",True
hydrationceo,C3fbBvNr2hz,,"Expensive skincare products you DO NOT NEED (I’m looking at you 🫵) 

#deinfluencing #skincare #skincareproducts #skincarereview #redlightmask #tatcha #dbronzi",5653,posts/hydrationceo\2024-02-18_13-45-15_UTC.jpg,posts/hydrationceo\2024-02-18_13-45-15_UTC.mp4,2024-02-18 13:45:15,GraphVideo,"['deinfluencing', 'skincare', 'skincareproducts', 'skincarereview', 'redlightmask', 'tatcha', 'dbronzi']",True
hydrationceo,C3dFihLL0QE,,"$40 for a tinted lip balm is wild to me, I’m sticking with the $12 doop 💅 

#diorglowbalm #diorlipbalm #lipbalm #doop #quo #luxurydoop #dupe #dupes",12319,posts/hydrationceo\2024-02-17_15-58-58_UTC.jpg,posts/hydrationceo\2024-02-17_15-58-58_UTC.mp4,2024-02-17 15:58:58,GraphVideo,"['diorglowbalm', 'diorlipbalm', 'lipbalm', 'doop', 'quo', 'luxurydoop', 'dupe', 'dupes']",True
hydrationceo,C3bL9YbrW-i,,"My ride or die shower products @loccitane #loccitanepartner 

#bodycare #everythingshower #skincare #bodyproducts #loccitane #loccitanealmondshoweroil #dove #nair #firstaidbeauty",15825,posts/hydrationceo\2024-02-16_22-17-15_UTC.jpg,posts/hydrationceo\2024-02-16_22-17-15_UTC.mp4,2024-02-16 22:17:15,GraphVideo,"['loccitanepartner', 'bodycare', 'everythingshower', 'skincare', 'bodyproducts', 'loccitane', 'loccitanealmondshoweroil', 'dove', 'nair', 'firstaidbeauty']",True
